,forecast,vix,close_ae,close_mse,close_ql,forecast_DR,actual_DR,DA_DR,forecast_IDR,actual_IDR,DA_IDR,close_err
2019-03-01,9.682719647072465,13.57,3.887280352927535,15.11094854225642,0.0510573190178063,-0.4229320984160316,-0.08541344167327787,1,-0.4086218031030893,-0.07110314636033574,1,-3.887280352927535
2019-03-04,4.088371820921706,14.63,10.541628179078295,111.12592466593756,0.5543786643139714,-1.1997146708442525,0.0752127411852551,0,-1.214345509738038,0.060581902291469626,0,-10.541628179078295
2019-03-05,7.2350844821645115,14.74,7.504915517835489,56.323756929847924,0.2024698296685914,-0.7041321781453693,0.007490671729157659,0,-0.6965849725099863,0.015037877364540502,0,-7.504915517835489
2019-03-06,7.687846595653067,15.74,8.052153404346933,64.83717444713591,0.20499188203546503,-0.650924169031473,0.06564035622806655,0,-0.6623914110469293,0.054173114212610216,0,-8.052153404346933
2019-03-07,9.774486979250462,16.59,6.815513020749538,46.4512177360065,0.11820392684767067,-0.47642962143623474,0.05259486121309593,0,-0.5132282854293512,0.015796197219979508,0,-6.815513020749538
2019-03-08,10.785302639456104,16.05,5.264697360543897,27.717038298117874,0.06950598184624557,-0.4306157636092652,-0.03309125462632822,1,-0.4771357792441579,-0.07961127026122104,1,-5.264697360543897
2019-03-11,6.1751818595424135,14.33,8.154818140457586,66.50105890393611,0.27274376573321035,-0.9551705165576116,-0.11335360773594438,1,-0.9693990275559811,-0.12758211873431385,1,-8.154818140457586
2019-03-12,0.34714483174836624,13.77,13.422855168251633,180.17304086785958,2.7057157437282857,-3.720368445395096,-0.039862929099517073,1,-3.6949253768238863,-0.014419860528307068,1,-13.422855168251633
2019-03-15,3.217549630381027,12.88,9.662450369618973,93.36294714534984,0.6368653890807514,-1.434069599937357,-0.04701396476817609,1,-1.4123540330272073,-0.025298397858026445,1,-9.662450369618973
2019-03-18,4.141798311647794,13.1,8.958201688352204,80.24937748919629,0.46764997193860003,-1.1345456523582518,0.016936509530898255,0,-1.1537696199967489,-0.0022874581075990807,1,-8.958201688352204
2019-03-19,5.713690722284267,13.56,7.846309277715734,61.564569281568,0.28562272906245356,-0.8297470541699746,0.03451205230514368,0,-0.8135866409139648,0.05067246556115345,0,-7.846309277715734
2019-03-20,6.908754205216001,13.91,7.001245794783999,49.017442678980636,0.19649402932455962,-0.6743349496673814,0.02548372342310198,0,-0.6728589346392607,0.02695973845122263,0,-7.001245794783999
2019-03-21,7.26125968161805,13.63,6.368740318381951,40.56085324298383,0.16246091117166372,-0.6500546822849973,-0.02033476022691022,1,-0.6643304422143684,-0.034610520156281285,1,-6.368740318381951
2019-03-22,5.864684360276701,16.48,10.615315639723299,112.68492613095407,0.38906563077299605,-0.8433245825658457,0.18987427877288446,0,-0.853543649597968,0.17965521174076224,0,-10.615315639723299
2019-03-25,11.899240654199298,16.33,4.4307593458007,19.631628380400247,0.0452029663920952,-0.3256729369713107,-0.009143617498952032,1,-0.4004741500540091,-0.08394483058165042,1,-4.4307593458007
2019-03-26,8.192421435606914,14.68,6.487578564393086,42.088675629172656,0.14134336672279457,-0.6897943952322242,-0.10651788379600413,1,-0.6830355369371174,-0.09975902550089734,1,-6.487578564393086
2019-03-27,1.4555203809825596,15.15,13.694479619017441,187.53877203568408,1.4387109976537635,-2.311122536344652,0.031514508769008735,0,-2.300163522554932,0.04247352255872814,0,-13.694479619017441
2019-03-28,1.6869314956958175,14.43,12.743068504304182,162.38579490538922,1.2633026467776065,-2.1950893363910153,-0.04869115916959869,1,-2.2101567685131354,-0.06375859129171854,1,-12.743068504304182
2019-04-02,0.7596900049125189,13.36,12.60030999508748,158.76781197230144,1.92397300961211,-2.8700995241406764,-0.0029895388483660483,1,-2.8863841179051772,-0.019274132612866677,1,-12.60030999508748
2019-04-03,2.0955372130643872,13.74,11.644462786935613,135.59351359632828,1.0330149654129626,-1.8524552213222816,0.02804611868570375,0,-1.829744177062067,0.05075716294591832,0,-11.644462786935613
2019-04-04,4.875592923271076,13.58,8.704407076728923,75.76670255740856,0.3833838610030127,-1.0360695644537736,-0.011713164663653203,1,-1.043321227849094,-0.018964828058973444,1,-8.704407076728923
2019-04-05,5.02163804130158,12.82,7.79836195869842,60.81444923887466,0.32895370332496165,-0.9948419386040502,-0.05759167063802611,1,-0.9859661406900819,-0.04871587272405782,1,-7.79836195869842
2019-04-08,2.7000143610571845,13.18,10.479985638942814,109.83009899244763,0.7903003689630852,-1.5577493595863177,0.027694077581837222,0,-1.6131294554195037,-0.027686018251348823,1,-10.479985638942814
2019-04-09,3.3741812209568285,14.28,10.905818779043171,118.93688324133069,0.6789944635644698,-1.3625478353802756,0.08015942783707708,0,-1.3835696305224963,0.059137632694856376,0,-10.905818779043171
2019-04-10,5.609120544690368,13.3,7.6908794553096325,59.14962679610379,0.28510848045328796,-0.9344660153181933,-0.0710959216837301,1,-0.9210713843173439,-0.057701290682880685,1,-7.6908794553096325
2019-04-11,2.5023126943911156,13.02,10.517687305608884,110.62174625856628,0.8414611698543515,-1.6705486532178333,-0.021277398447284965,1,-1.675798009103977,-0.026526754333428597,1,-10.517687305608884
2019-04-12,1.996508637732234,12.01,10.013491362267766,100.27000926221116,0.9605768509630654,-1.8750866628312608,-0.08074700068853098,1,-1.8704677169749662,-0.07612805483223652,1,-10.013491362267766
2019-04-16,0.8636013303102258,12.18,11.316398669689773,128.06087885135648,1.7173425312898627,-2.657867998023976,-0.011428695823622857,1,-2.6529859704266676,-0.006546668226314333,1,-11.316398669689773
2019-04-17,2.7045004904246577,12.6,9.895499509575341,97.92091054400582,0.7534224763570185,-1.5048780286158883,0.033901551675681416,0,-1.4999397469753057,0.03883983331626396,0,-9.895499509575341
2019-04-18,4.816639611895873,12.09,7.273360388104127,52.901771335242216,0.3187008001505498,-0.9616203049903069,-0.041318149330730976,1,-0.9773686619584461,-0.057066506298870244,1,-7.273360388104127
2019-04-22,3.7797252835118416,12.42,8.640274716488157,74.6543471763845,0.4939824530415793,-1.1627273339558752,0.026929411878631328,0,-1.2513227878634081,-0.061666042028901295,1,-8.640274716488157
2019-04-23,4.090005655145016,12.28,8.189994344854984,67.07600736875662,0.4324879197567082,-1.1107617237755352,-0.011336153786336352,1,-1.1299010639862326,-0.03047549399703374,1,-8.189994344854984
2019-04-24,3.3319564825839816,13.14,9.808043517416019,96.19771763952639,0.6256749019942072,-1.3044122589486735,0.06768909033746807,0,-1.3245661051376543,0.04753524414848751,0,-9.808043517416019
