,forecast-5d,vix,close_ae,close_mse,close_ql,forecast_5DR,actual_5DR,DA_5DR,forecast_I5DR,actual_I5DR,DA_I5DR,close_err
2017-08-14,10.367602067154236,12.33,1.9623979328457644,3.8510056468373293,0.014193198032356413,-0.055566523515126635,0.11778303565638346,0,0.03210864374116,0.2054582029126698,1,-1.9623979328457644
2017-08-15,11.046038325984771,12.04,0.9939616740152282,0.9879598094111547,0.003607642423240298,-0.005773762507661173,0.08038883622913626,0,-0.03940525071678694,0.04675734802001065,0,-0.9939616740152282
2017-08-16,11.163555096198214,11.74,0.5764449038017858,0.3322887271190501,0.0012464223947110664,-0.36243113920670533,-0.3120837880384179,1,-0.035761077973922244,0.014586273194365252,0,-0.5764449038017858
2017-08-17,14.477239415642433,15.55,1.0727605843575674,1.1508152713511894,0.0024950990045753407,-0.06890725649752674,0.0025756614367956703,0,-0.1105799528980949,-0.03909703496377234,1,-1.0727605843575674
2017-08-18,14.253291855999027,14.26,0.006708144000972638,4.499919593778519e-05,1.1068070926434359e-07,0.14495257029882505,0.145423097809897,1,0.014365491695323081,0.014836019206394994,1,-0.006708144000972638
2017-08-21,12.223802579033812,13.19,0.9661974209661874,0.933537456281712,0.002821616252459247,0.015150642137697304,0.09122452684854829,1,0.03698190379493173,0.11305578850578255,1,-0.9661974209661874
2017-08-22,12.033837718234198,11.35,0.6838377182341979,0.46763402487975425,0.00174527172007366,0.024720677035070283,-0.03378407047253879,0,0.0375798340833604,-0.020924913424248646,0,0.6838377182341979
2017-08-23,11.828587495107014,12.25,0.4214125048929862,0.1775884992801811,0.0006056455661731519,-0.273541368008271,-0.23853470163450713,1,0.001572640407701233,0.03657930678146507,1,-0.4214125048929862
2017-08-24,14.362352803627562,12.23,2.132352803627562,4.546928479138323,0.013635831902445217,0.007151979476680678,-0.1535664652870688,0,-0.06845756961466751,-0.22917601437841695,1,2.132352803627562
2017-08-25,13.59049582240282,11.28,2.310495822402821,5.338390945340888,0.01849172414537481,0.029911745124643008,-0.15642772065931046,0,-0.07096565068082814,-0.25730511646478155,1,2.310495822402821
2017-08-28,12.933332070609445,11.32,1.6133320706094452,2.60284037005696,0.009283713384444114,0.1305901164004113,-0.00264667115237476,0,0.02611104637039074,-0.1071257411823954,0,1.6133320706094452
2017-08-29,11.729395940544325,11.7,0.029395940544326038,0.0008641213204855514,3.1509849309774296e-06,-0.04342777262115961,-0.045937095187025656,1,0.018881941635785163,0.016372619069919114,1,0.029395940544326038
2017-08-30,12.309844190360252,11.22,1.0898441903602514,1.1877603592619919,0.004432680450268123,0.006507333257166495,-0.08619404960453067,0,0.02050509165720809,-0.07219629120448914,0,1.0898441903602514
2017-08-31,12.298357980396906,10.59,1.7083579803969062,2.918486989185796,0.011762437707051987,0.08643450986816392,-0.06312108645659766,0,0.008029804198866052,-0.1415257921258957,0,1.7083579803969062
2017-09-01,11.675022041039657,10.13,1.5450220410396565,2.387093107298346,0.01056907806180396,0.030880618661624372,-0.11106975451444483,0,-0.03492697319003986,-0.17687734636610927,1,1.5450220410396565
2017-09-05,11.697000802021922,12.23,0.5329991979780786,0.284088145045275,0.0009781907242234489,-0.0002563745686793922,0.04430310789537061,0,-0.1306846669555863,-0.08612518449153635,1,-0.5329991979780786
2017-09-06,11.953143949592022,11.63,0.323143949592021,0.1044220121579306,0.000379009036440614,0.06329643569640264,0.03589006643602287,1,0.0473809803905032,0.01997461113012323,1,0.323143949592021
2017-09-07,11.64438105437666,11.55,0.09438105437665989,0.00890778342525003,3.320609487977855e-05,0.09491359111905863,0.08677527735448749,1,0.05058500401182829,0.04244669024725705,1,0.09438105437665989
2017-09-08,11.226753105643912,12.12,0.8932468943560874,0.7978900142767952,0.0028571417226943563,0.10279828184962383,0.1793556623805763,1,0.08324731697866877,0.15980469750962112,1,-0.8932468943560874
2017-09-11,10.910130455169575,10.73,0.18013045516957504,0.03244698087959828,0.00013935354487970564,-0.11420019253149571,-0.13084839305647383,1,-0.07416148342258269,-0.09080968394756085,1,0.18013045516957504
2017-09-12,12.2948230546191,10.58,1.7148230546190995,2.940618108653179,0.01186871667974465,0.055590317380430916,-0.0946225401004198,0,0.0020210251881840925,-0.14819183229266664,0,1.7148230546190995
2017-09-13,11.916750056029692,10.5,1.4167500560296915,2.007180721260134,0.008358855772001794,0.031259541188405786,-0.0953101798043249,0,-0.0011112579536162507,-0.12768097894634703,1,1.4167500560296915
2017-09-14,11.859884674239682,10.44,1.4198846742396825,2.016072488140729,0.008487191999750676,-0.021695311044694424,-0.14921239818667575,1,-0.0008525390251027055,-0.12836962616708392,1,1.4198846742396825
2017-09-15,12.231191202464275,10.17,2.0611912024642756,4.248509173116126,0.018126532958760322,0.13094578835136006,-0.05360134658213861,0,0.07213191629578239,-0.11241521863771635,0,2.0611912024642756
2017-09-18,11.30218909566152,10.15,1.1521890956615195,1.3275397121613102,0.005993440312288101,0.06603100580560323,-0.041491720942356924,0,0.05849801349805796,-0.04902471324990216,0,1.1521890956615195
2017-09-19,11.163735385603886,10.18,0.983735385603886,0.9677353088892262,0.004388522523675276,0.061295355757805835,-0.030950246041101075,0,0.040559457278627566,-0.05168614452027937,0,0.983735385603886
2017-09-20,11.073365995171963,9.78,1.293365995171964,1.6727955974671649,0.008042730716214752,0.05889818265229304,-0.06530509840776667,0,0.04652296522463935,-0.0776803158354204,0,1.293365995171964
2017-09-21,10.999724329477976,9.67,1.3297243294779761,1.7681667924056532,0.008668369858608083,0.07842800146732325,-0.05041390059526558,0,0.04554302663893207,-0.08329887542365677,0,1.3297243294779761
2017-09-22,10.787256614006495,9.59,1.1972566140064949,1.433423399782297,0.0071996713410069635,0.06089178881383198,-0.05675281659244948,0,0.057940483179251503,-0.05970412222702979,0,1.1972566140064949
2017-09-25,10.743498856650323,10.21,0.533498856650322,0.28462103004720085,0.00131939951787996,0.05387580299080563,0.002942621054197578,1,0.055842371962846374,0.004909190026238346,1,0.533498856650322
2017-09-26,10.734621266911933,10.17,0.5646212669119333,0.3187971750492366,0.0014863748958000578,0.09313466644851628,0.03910272601374261,1,0.06689703623165909,0.012865095796885434,1,0.5646212669119333
2017-09-27,10.445557237690634,9.87,0.575557237690635,0.3312661338580742,0.001636913363612491,0.07714843382737883,0.020471543980187284,1,0.06993562563813788,0.013258735790946432,1,0.575557237690635
2017-09-28,10.346992400081092,9.55,0.7969924000810913,0.6351968857870183,0.0032999679538487925,0.07597499922261515,-0.004179734402707857,0,0.04416113097741762,-0.03599360264790537,0,0.7969924000810913
2017-09-29,10.271304635431447,9.51,0.761304635431447,0.5795847479294084,0.003042890712533941,0.005986417330803361,-0.07102375561927533,0,0.01880078686415506,-0.058209386085923645,0,0.761304635431447
2017-10-02,10.662881940522992,9.45,1.2128819405229923,1.4710826016468193,0.007593303706269872,0.047326523032351284,-0.07342746855481731,0,0.02304169676759899,-0.0977122948195695,0,1.2128819405229923
2017-10-03,10.631217918403243,9.51,1.121217918403243,1.2571296205485012,0.006447951811835884,0.07429490604279047,-0.03715597688809117,0,0.07126000234763627,-0.04019088058324534,0,1.121217918403243
2017-10-04,10.427134388844886,9.63,0.797134388844885,0.6354232338791083,0.003247898223672774,0.08787032977543419,0.008342071317395273,1,0.06817036661362946,-0.011357891844409516,0,0.797134388844885
2017-10-05,10.203582153401747,9.19,1.0135821534017477,1.0273487816945241,0.005668941868332,0.07039497358959775,-0.03422794018970327,0,0.06201796125154975,-0.04260495252775123,0,1.0135821534017477
2017-10-06,10.157242184016132,9.65,0.5072421840161319,0.2572946332454554,0.001334905520630869,0.07217222521747582,0.020943173845243388,1,0.05746607782778015,0.006237026455547698,1,0.5072421840161319
2017-10-09,10.0970060376976,10.33,0.2329939623024,0.05428618646937219,0.0002582565048097063,0.059895071434162575,0.08270840657424836,1,0.08222454783225122,0.1050378829723368,1,-0.2329939623024
2017-10-10,10.117448221800622,10.08,0.037448221800621795,0.0014023693160285654,6.883944657865015e-06,0.04937825425763971,0.045670036833188266,1,0.05981676240156325,0.05610854497711181,1,0.037448221800621795
2017-10-11,10.179231512984042,9.85,0.32923151298404285,0.10839338914176197,0.0005464558794892049,0.10223358202158707,0.06935551881640194,1,0.07116520212225226,0.03828713891706699,1,0.32923151298404285
2017-10-12,9.87051578798318,9.91,0.03948421201681995,0.001559002998589189,7.958388437590003e-06,0.022594194883410048,0.026586432991001982,1,0.06709306171954384,0.07108529982713586,1,-0.03948421201681995
2017-10-13,10.155605941693011,9.61,0.5456059416930117,0.2976858436107181,0.001553172265468028,-0.01702642058411562,-0.07224806014934614,1,0.023472941250650064,-0.0317486983145803,0,0.5456059416930117
2017-10-16,10.60140583576287,9.91,0.6914058357628701,0.47804202972695287,0.0023262300795423574,0.0504333556961115,-0.017008914301325874,0,0.04351291285153775,-0.02392935714589973,0,0.6914058357628701
2017-10-17,10.442239961865086,10.31,0.13223996186508558,0.017487407514079286,8.156130838354869e-05,0.05838765999090914,0.045642842844871134,1,0.048286564004405126,0.035541746858367224,1,0.13223996186508558
2017-10-18,10.290406853025036,10.07,0.22040685302503604,0.04857918086039984,0.00023609197694685058,0.03766773940319011,0.016016358388574334,1,0.03464506707660406,0.012993686061988398,1,0.22040685302503604
2017-10-19,10.326402375363333,10.05,0.27640237536333245,0.07639827310649253,0.00037140551814274225,0.07189972992149064,0.044768411522883855,1,0.037131401733190385,0.010000083334583399,1,0.27640237536333245
2017-10-20,10.121931785415978,9.97,0.15193178541597696,0.02308326741968647,0.00011494567152725566,0.02116018518760273,0.006036235631850463,1,0.01713198235899792,0.002008032803245613,1,0.15193178541597696
2017-10-23,10.312114513883152,11.07,0.757885486116848,0.5743904100665711,0.002456369354392862,0.00020507246132678465,0.07112444869167689,1,0.04584791530619792,0.11676729153654805,1,-0.757885486116848
2017-10-24,10.579782955567174,11.16,0.5802170444328265,0.3366518186503646,0.0014002707393592217,0.04938420489257979,0.10277525022269388,1,0.02292504254276756,0.07631608787288191,1,-0.5802170444328265
2017-10-25,10.430331766015268,11.23,0.7996682339847325,0.6394692844442609,0.0026624782437618677,0.037145442823879785,0.11101613424526702,1,0.020371492553406142,0.0942421839747935,1,-0.7996682339847325
2017-10-26,10.420195300272043,11.3,0.8798046997279574,0.7740563096634012,0.0031981237555327446,0.04416519500424026,0.12522214174454788,1,0.04919285768120594,0.1302498044215135,1,-0.8798046997279574
2017-10-27,10.368763969317772,9.8,0.5687639693177715,0.32349245279410693,0.0016217031952547867,-0.06544092451297076,-0.12185636104401927,1,0.011520116623157627,-0.04489531990789088,0,0.5687639693177715
2017-10-30,11.102502594616148,10.5,0.6025025946161477,0.3630093765191901,0.0015859147700687526,-0.005165415072503763,-0.06096069978968725,1,0.019325604935792048,-0.03646967978139144,0,0.6025025946161477
2017-10-31,11.186725050490441,10.18,1.0067250504904415,1.013495327284982,0.004589640259612171,-0.0038609567785067166,-0.09816375762797513,1,-0.013608486327760818,-0.10791128717722932,1,1.0067250504904415
2017-11-01,11.256640080868358,10.2,1.056640080868359,1.1164882604974922,0.005021701137160273,-0.0038445417742143835,-0.10241500542806965,1,0.007726570862971195,-0.09084389279088395,0,1.056640080868359
2017-11-02,11.325281334390583,9.93,1.3952813343905834,1.946810002098767,0.009034680554933505,0.14465512727281,0.013178092380554817,1,0.01829222412690001,-0.1131848107653551,0,1.3952813343905834
2017-11-03,10.343383852457087,9.14,1.2033838524570868,1.4481326963544596,0.007974564469070078,-0.015028183162431505,-0.138714871697419,1,0.006146813974027255,-0.11753987456096034,0,1.2033838524570868
2017-11-06,10.793310648749994,9.4,1.3933106487499938,1.9413145639201286,0.010007668519592894,0.05850154673505181,-0.07971532184641843,0,0.042906688777145305,-0.09531017980432477,0,1.3933106487499938
2017-11-07,10.58359343360747,9.89,0.6935934336074698,0.4810718511433997,0.002349914824501864,0.036917292482226145,-0.03086357465560454,0,0.07794355623003271,0.010162689092201837,1,0.6935934336074698
2017-11-08,10.595715522847968,9.78,0.8157155228479684,0.6653918142151345,0.003296255774376755,0.06488924539399689,-0.015220994010355243,0,0.01480514099658531,-0.06530509840776667,0,0.8157155228479684
